schedule,step,train_reward
rl50_echo150,167,0.6167
rl50_echo150,168,0.6333
rl50_echo150,169,0.6464
rl50_echo150,170,0.6294
rl50_echo150,171,0.6333
rl50_echo150,172,0.6375
rl50_echo150,173,0.6333
rl50_echo150,174,0.6292
rl50_echo150,175,0.6167
rl50_echo150,176,0.6375
rl50_echo150,177,0.6711
rl50_echo150,178,0.6333
rl50_echo150,179,0.6208
rl50_echo150,180,0.6292
rl50_echo150,181,0.6333
rl50_echo150,182,0.6375
rl50_echo150,183,0.6042
rl50_echo150,184,0.6417
rl50_echo150,185,0.6083
rl50_echo150,186,0.6542
rl50_echo150,187,0.6208
rl50_echo150,188,0.6333
rl50_echo150,189,0.6522
rl50_echo150,190,0.6083
rl50_echo150,191,0.6417
rl50_echo150,192,0.6633
rl50_echo150,193,0.6125
rl50_echo150,194,0.6503
rl50_echo150,195,0.6542
rl50_echo150,196,0.6083
rl50_echo150,197,0.6417
rl50_echo150,198,0.6448
rl50_echo150,199,0.6333
rl50_echo150,200,0.6375
